doc_index,appeal_id,Субъект,Связь,Объект,Проблемный_признак,Тема,Категория_источника,Адрес,Дата,Контекст,raw_text,emotion_score,urgency_flag
0,appeal_000000,жители,сообщает о проблеме,дворовая территория,проблемный сигнал,благоустройство,благоустройство,,2022-02-23,"Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься... Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!","Судя по состоянию дворов Центрального района вы все уехали в Донбасс благоустройством заниматься...<br>Вот они обрадуются, когда узнают до какого состояния свои дворы довели, прежде чем со своей помощью приехать... Да вас поганой метлой погонят!",0.1,False
1,appeal_000001,жители,не убирает,дворовая территория,нарушение содержания территории,благоустройство,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3","А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡",0.0,False
1,appeal_000001,жители,не убирает,снег и наледь,нарушение содержания территории,благоустройство,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3","А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡",0.0,False
1,appeal_000001,жители,не убирает,здание/дом,нарушение содержания территории,жилищно-коммунальное,благоустройство,энгельса 126 корпус 3,2022-02-23,"А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3","А вот во дворе нашего дома не убирали снег ни разу, Энгельса 126 корпус 3😡",0.0,False
2,appeal_000002,жители,не устраняет,благоустройство,бездействие исполнителя,благоустройство,благоустройство,,2022-02-23,"Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда еще писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...","Неужели не будет порядка? Воду откачали. Она собирается снова и никуда не уходит. Куда ещё писать ?В прокуратуру ? На бездействие всех веток власти? Как говорится, сравните было и стало. То есть даже губернатор ничего не может сделать...",0.2,False
3,appeal_000003,жители,не убирает,снег и наледь,нарушение содержания территории,благоустройство,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.",0.0,False
3,appeal_000003,жители,не убирает,снег и наледь,затопление/протечка,благоустройство,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.",0.0,False
3,appeal_000003,жители,затоплено,снег и наледь,нарушение содержания территории,благоустройство,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.",0.0,False
3,appeal_000003,жители,затоплено,снег и наледь,затопление/протечка,благоустройство,благоустройство,елизарова 31,2022-02-23,"Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лед и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.","Елизарова 31 3, 35, 37 Вообще ничего не убирается. Один сплошной лёд и лужи, на машине не проехать даже, не то что пешком пройти. За всю зиму 2 раза трактор проходил.",0.0,False
4,appeal_000004,жители,сообщает о проблеме,дворовая территория,проблемный сигнал,благоустройство,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу","Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу",0.3,False
4,appeal_000004,жители,сообщает о проблеме,снег и наледь,проблемный сигнал,благоустройство,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу","Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу",0.3,False
4,appeal_000004,жители,сообщает о проблеме,дорога,проблемный сигнал,инфраструктура,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу","Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу",0.3,False
4,appeal_000004,жители,сообщает о проблеме,здание/дом,проблемный сигнал,жилищно-коммунальное,благоустройство,улице евдокима огнева 22,2022-02-23,"Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лед по которому невозможно ходить. Прошу принять меры по этому вопросу","Добрый день! Во дворе дома по улице Евдокима Огнева 22 огромная колейность, людям и машинам тяжело идти и проезжать, голый лёд по которому невозможно ходить. Прошу принять меры по этому вопросу",0.3,False
5,appeal_000005,жители,отсутствует,дворовая территория,нарушение содержания территории,благоустройство,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет","Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет",0.0,False
5,appeal_000005,жители,отсутствует,снег и наледь,нарушение содержания территории,благоустройство,благоустройство,раз по телефону 004,2022-02-23,"Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет","Здравствуйте. Извините за беспокойство. Звонил много раз по телефону 004, жаловался на отвратительную уборку снега во дворе по улице Кржижановского 5/4 . Начал жаловаться давно- но реакций никаких нет, в одной из последних была подмена адреса, убрали другой, который тоже, конечно, нуждался в очищении от калии, льда. До сих пор никаких реакций нет",0.0,False
6,appeal_000006,жители,сообщает о проблеме,дворовая территория,проблемный сигнал,благоустройство,благоустройство,,2022-02-23,"club82032767 Невский район Санкт-Петербурга как людям пробираться к своим подъездам Кто контролирует работу, за что люди платят, дворники перестали существовать","[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️",0.0,False
6,appeal_000006,жители,сообщает о проблеме,дорога,проблемный сигнал,инфраструктура,благоустройство,,2022-02-23,"club82032767 Невский район Санкт-Петербурга как людям пробираться к своим подъездам Кто контролирует работу, за что люди платят, дворники перестали существовать","[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️",0.0,False
6,appeal_000006,жители,сообщает о проблеме,подъезд,проблемный сигнал,жилищно-коммунальное,благоустройство,,2022-02-23,"club82032767 Невский район Санкт-Петербурга как людям пробираться к своим подъездам Кто контролирует работу, за что люди платят, дворники перестали существовать","[club82032767|Невский район Санкт-Петербурга] как людям пробираться к своим подъездам🤦‍♀️ Кто контролирует работу, за что люди платят, дворники перестали существовать🤦‍♀️",0.0,False
7,appeal_000007,жители,отсутствует,дворовая территория,проблемный сигнал,благоустройство,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,задержано,дворовая территория,проблемный сигнал,благоустройство,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,отсутствует,снег и наледь,проблемный сигнал,благоустройство,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,задержано,снег и наледь,проблемный сигнал,благоустройство,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,отсутствует,дорога,проблемный сигнал,инфраструктура,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,задержано,дорога,проблемный сигнал,инфраструктура,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,отсутствует,здание/дом,проблемный сигнал,жилищно-коммунальное,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
7,appeal_000007,жители,задержано,здание/дом,проблемный сигнал,жилищно-коммунальное,благоустройство,улице шотмана дом 14,2022-02-23,"Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.","Здравствуйте!Когда начнут убирать дворы?Машинам не проехать,застревают и заносит,люди идут падают,все в буграх ледяных,на дороге возле дома страшная колея.Почему такое наплевательское отношение в этом году к уборке всего города и дворов в целом.Улицы убрали снаружи дворов,а внутри ужас что творится,коммунальщикам плевать,ни одного дворника и техники во дворе нет.Прошу решить этот вопрос.Прилагаю фотографии двора на улице Шотмана дом 14.",0.3,False
8,appeal_000008,жители,задержано,дворовая территория,проблемный сигнал,благоустройство,благоустройство,сегодня уже 23,2022-02-23,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а все как было так и осталось Трактор постоял, мото-часы помотал зп же именно за мото-часы платят и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку","Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку",0.0,False
8,appeal_000008,жители,задержано,парк/сквер,проблемный сигнал,благоустройство,благоустройство,сегодня уже 23,2022-02-23,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а все как было так и осталось Трактор постоял, мото-часы помотал зп же именно за мото-часы платят и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку","Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку",0.0,False
8,appeal_000008,жители,задержано,здание/дом,проблемный сигнал,жилищно-коммунальное,благоустройство,сегодня уже 23,2022-02-23,"Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а все как было так и осталось Трактор постоял, мото-часы помотал зп же именно за мото-часы платят и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку","Сегодня уже 23.02.2022, уборка должна была пройти до 22.02.2022, но 22.02 прошло, а всё как было так и осталось😭 Трактор постоял, мото-часы помотал (зп же именно за мото-часы платят😂) и на этом уборка видимо закончилась. На видео двор Юнтоловский 53/1, выезд из придомовой территории на Юнтоловский и въезд на парковку",0.0,False
9,appeal_000009,жители,сообщает о проблеме,снег и наледь,бездействие исполнителя,благоустройство,дороги,конце января 1,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадешь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?",0.3,False
9,appeal_000009,администрация,сообщает о проблеме,снег и наледь,бездействие исполнителя,благоустройство,дороги,конце января 1,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадешь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?",0.3,False
9,appeal_000009,жители,сообщает о проблеме,дорога,бездействие исполнителя,инфраструктура,дороги,конце января 1,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадешь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?",0.3,False
9,appeal_000009,администрация,сообщает о проблеме,дорога,бездействие исполнителя,инфраструктура,дороги,конце января 1,2022-02-23,"У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадешь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?","У д. 39 по ул. Авангардная, твориться жесть. На лево пойдешь, скользко - упадёшь, а на право только в плавь, даже прямо не всегда можно пройти, на газоне паркуют машины. Гибдд отписывается, что это не к ним, а в Администрацию (а наша любимая администрация, говорит, что есть специально обученные люди, которые ходят и фиксируют все нарушения!!!!!! Где они? Где обещанная уборка? По тел. 004 хамят, трубки бросают. Работники администрации и жилконторы по телефону перекладывают друг на друга вину. В конце января 1 раз проехал трактор, типо почистил, на наши с соседями жалобы, через 004, проехал 2 раза и посыпал песком, по фото видно, что гололед и море. Куда обращаться? и что делать?",0.3,False
